Name|||FullName|||ID|||Group|||TechGroup|||Warehous|||Area|||Sequence|||ItemLenght|||PriceCoefficient|||AddCoefficient|||PackWeight|||PackWeightUnit|||CutHalf|||MinimalQuantity
Лист ГК 5х1500х3000 Ст3|||Лист ГК  5х1500х3000 Ст3 |||4106       |||Лист горячекатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||3|||179||||||4|||т|||false|||5
Лист ГК 6х1500х3000 Cт09Г2С|||Лист ГК  6х1500х3000 Cт09Г2С|||4107       |||Лист горячекатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||3|||214||||||4|||т|||false|||
Лист ГК 6х1500х3000 Ст3|||Лист ГК  6х1500х3000 Ст3 |||4107       |||Лист горячекатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||3|||214||||||4|||т|||false|||5
Лист ГК 8х1500х3000 Cт09Г2С|||Лист ГК  8х1500х3000 Cт09Г2С|||4108       |||Лист горячекатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||3|||285||||||4|||т|||false|||
Лист ГК 8х1500х3000 Ст3|||Лист ГК  8х1500х3000 Ст3 |||4108       |||Лист горячекатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||3|||285||||||4|||т|||false|||5
Лист ГК 10х1500х3000 Ст3|||Лист ГК 10х1500х3000 Ст3 |||4109       |||Лист горячекатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||3|||356||||||4|||т|||false|||5
Лист ХК 0,8х1250х2500 08пс|||Лист ХК 0,8х1250х2500 08пс|||4202       |||Лист холоднокатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||21||||||5|||т|||false|||5
Лист ХК 1 х1250х2500 08пс|||Лист ХК 1 х1250х2500 08пс|||4203       |||Лист холоднокатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||26||||||5|||т|||false|||5
Лист ХК 1,2х1250х2500 08пс|||Лист ХК 1,2х1250х2500 08пс|||4204       |||Лист холоднокатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||31||||||5|||т|||false|||5
Лист ХК 1,4х1250х2500 08пс|||Лист ХК 1,4х1250х2500 08пс|||4205       |||Лист холоднокатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||36||||||5|||т|||false|||5
Лист ХК 1,5х1250х2500 08пс|||Лист ХК 1,5х1250х2500 08пс|||4206       |||Лист холоднокатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||38||||||5|||т|||false|||5
Лист ХК 2 х1250х2500 08пс|||Лист ХК 2 х1250х2500 08пс|||4207       |||Лист холоднокатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||51||||||5|||т|||false|||5
Лист ХК 2,5х1250х2500 08пс|||Лист ХК 2,5х1250х2500 08пс|||4208       |||Лист холоднокатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||63||||||5|||т|||false|||5
Лист ХК 3х1250х2500 08пс|||Лист ХК 3х1250х2500 08пс|||4209       |||Лист холоднокатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||75||||||5|||т|||false|||5
Швеллер ГК 12 заготовка|||Швеллер ГК 12 6м заготовка|||2204       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,8||||||5|||т|||false|||1
Швеллер ГК 12 заготовка|||Швеллер ГК 12 6м заготовка|||2204       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,8||||||5|||т|||false|||1
Швеллер ГК 12 заготовка|||Швеллер ГК 12 6м заготовка|||2204       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,8||||||5|||т|||false|||1
Швеллер ГК 12 заготовка|||Швеллер ГК 12 6м заготовка|||2204       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,8||||||5|||т|||false|||1
Швеллер ГК 12 заготовка|||Швеллер ГК 12 6м заготовка|||22604       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,8||||||5|||т|||false|||1
Швеллер ГК 12 заготовка|||Швеллер ГК 12 6м заготовка|||228604       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,8||||||5|||т|||false|||1
Швеллер ГК 12 заготовка|||Швеллер ГК 12 6м заготовка|||22084       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,8||||||5|||т|||false|||1
Швеллер ГК 12 заготовка|||Швеллер ГК 12 6м заготовка|||22074       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,8||||||5|||т|||false|||1
Швеллер ГК 12 заготовка|||Швеллер ГК 12 6м заготовка|||22074       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,8||||||5|||т|||false|||1
Швеллер ГК 12 заготовка|||Швеллер ГК 12 6м заготовка|||2204       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,8||||||5|||т|||false|||1
